Title,Original title,ID,Language,Details,Genre IDs,Popularity,Release date,Review score,Number of reviews
Kelce,Kelce,1169207,en,"An intimate and emotional documentary that chronicles Philadelphia Eagles team captain and All-Pro center Jason Kelce’s 2022 season, which began with him confronting one of the most challenging decisions any professional athlete will ever face—is now the time to hang it up?",[99],3.939,2023-09-11,7.4,18
Matt Rife: Natural Selection,Matt Rife: Natural Selection,1195988,en,"From his problem with protection crystals to his beef with social media trolls, comedian Matt Rife holds nothing back in this rollicking stand-up special.",[35],5.119,2023-11-15,6.4,17
The Good Mother,The Good Mother,996347,en,"A journalist and his pregnant girlfriend attempt to track down those responsible for the murder of his estranged son. Together, they confront a world of drugs and corruption in the underbelly of their small city in upstate New York, where they uncover an even darker secret.","[9648, 53, 80, 18]",4.854,2023-08-31,4.6,24
Ma langue au chat,Ma langue au chat,964883,fr,"Fourty-something years old Laure can't bother anything : her job, her husband Daniel... neither her life. Her only ally is her cat named Max. When her friends show up for Daniel's birthday and Max disappear, she cracks up... and starts an investigation. Who made Max disappear ? Who is guilty ? There are more surprises to come...",[35],2.917,2023-04-26,6.1,17
King of Clones,King of Clones,1127211,en,"From groundbreaking human cloning research to a scandalous downfall, this documentary tells the captivating story of Korea's most notorious scientist.",[99],5.294,2023-06-23,7.3,24
Kepler Sexto B,Kepler Sexto B,1096316,es,,"[18, 878]",3.867,2023-06-16,6.9,10
A Heidelberg Holiday,A Heidelberg Holiday,1074788,en,"Heidi heads to the Heidelberg Christmas market to sell her hand-painted ornaments. While there, she falls for a local artisan who helps her reconnect with her lost heritage.","[10770, 10749, 10751, 18]",2.878,2023-11-12,6.8,11
The Stroll,The Stroll,1058623,en,"The history of New York’s Meatpacking District, told from the perspective of transgender sex workers who lived and worked there. Filmmaker Kristen Lovell, who walked “The Stroll” for a decade, reunites her community to recount the violence, policing, homelessness, and gentrification they overcame to build a movement for transgender rights.",[99],3.473,2023-01-23,6.9,15
Jethica,Jethica,934601,en,"While hiding out in New Mexico after a freak accident, Elena runs into Jessica, an old friend from high school. When Jessica's stalker suddenly shows up at their door, they must seek help from beyond the grave to get rid of him, for good.","[35, 14, 18]",3.47,2023-01-13,5.2,15
Nandor Fodor and the Talking Mongoose,Nandor Fodor and the Talking Mongoose,979287,en,"In 1935, Hungarian-American para-psychologist Nandor Fodor began his investigation of a strange occurrence on the Isle of Man. An average British family, the Irvings, claimed to have been contacted by a mysterious entity at their farm. A talking mongoose. Named Gef (Pronounced ""Jeff"".)","[9648, 35]",4.75,2023-09-01,6.0,21
The Pigeon Tunnel,The Pigeon Tunnel,1155770,en,"Academy Award winner Errol Morris pulls back the curtain on the storied life and career of David Cornwell, the former spy known to the literary world as John le Carré.",[99],5.696,2023-10-20,6.9,16
Unexpected Grace,Unexpected Grace,1081445,en,"Grace finds a note from a schoolgirl looking for a friend. Since Grace is still trying to find her place in her new hometown, she excitedly writes back and sets off a chain of events that ultimately changes the lives of three people.","[10770, 18, 10749]",2.857,2023-03-12,8.1,11
Maaveeran,மாவீரன்,987895,ta,"After a head injury, cowardly newspaper cartoonist Sathya hears a voice in his mind, foretells events and puts him in precarious situations and forces him to take on a corrupt politician.","[18, 28]",2.845,2023-07-14,6.9,17
Space Oddity,Space Oddity,843889,en,A space-obsessed man gets the opportunity of a lifetime thanks to a Mars colonization program but finds his plans compromised by his feelings for a woman who brings him down to Earth.,"[35, 10749, 878, 18]",6.622,2023-03-31,6.0,25
Hai mai avuto paura?,Hai mai avuto paura?,1124158,it,"Inspired by the work of an award-winning Italian novelist, this post-modern noir fantasy is centered on the image of a young poet and his aristocratic family. Set in the 1800s the plot develops around an ancient curse and a series of mysterious and terrifying events occurring on the family country estate. Featuring authentic period sets and costumes, the film is a metaphor of maturing and becoming, where death and rebirth intertwine and perpetuate each other in a continuous flux of life.","[27, 53]",2.879,2023-07-27,6.1,10
A Freaking Wedding!,Un matrimonio mostruoso,1000948,it,"Vladimiro and Brunilde are grappling with the disappearance of Nando, the head of the family. The sad event brought together the human family of Luna, daughter of Nando, and the monstrous one of her husband Adalberto. Humans, vampires, witches, werewolves and ghosts will find themselves in the throes of a new monstrous marriage...","[35, 14]",3.056,2023-06-21,5.3,20
"Blind Willow, Sleeping Woman","Saules aveugles, femme endormie",678299,fr,"A lost cat, a giant talkative frog and a tsunami help a bank employee without ambition, his frustrated wife and a schizophrenic accountant to save Tokyo from an earthquake and find a meaning to their lives.","[16, 18, 878]",3.438,2023-02-24,7.7,14
The Devil's Deal,대외비: 권력의 탄생,640327,ko,"Hae-woong, an assembly member candidate, is taken out of the running because he became a thorn in the side of a local bigwig, Sun-tae. Hounded by loan sharks, due to defaulting a campaign loan, he decides to get his hands dirty. He steals classified government’s information about an urban development plan and obtains the help of a local gang leader, Pil-do, by promising hefty real estate profit. Now Hae-woong re-enters the race and tries to take revenge on Sun-tae. Unbeknownst to him, his messy journey through politics has only just begun.","[18, 80]",3.247,2023-03-01,5.6,16
In fuga con Babbo Natale,In fuga con Babbo Natale,1189213,it,"On Christmas Eve, a curious child embarks on a hilarious adventure with a man he believes to be Santa Claus — but is actually an undercover thief.","[10751, 35]",3.895,2023-12-15,7.3,10
Rebound,리바운드,936243,ko,"Joong-Ang High School was once renowned for its high ranked basketball team, but as the years pass and victories grow fewer, the school's social worker Kang Yang-hyun who was a former minor league baseball player, becomes the head coach. Left over talent refuses to play under an inexperienced coach, leaving Coach Kang to pull together a ragtag team of sports misfits. The team is pushed to their limits, but one final obstacle threatens to destroy what little hope was left, until six members agree to return for the love of the game and take on the KBA National Tournament. With only six players on their roster, they begin knocking on victory's door, following Coach Kang's motto: ""There is no such thing as missed shots, there are only rebounds!"" The miracle journey of Busan Joong-Ang High begins.",[18],3.318,2023-04-05,7.7,10
Blondi,Blondi,982502,es,"Blondi and Mirko live together, listen to the same music, watch the same films, like to smoke pot and share the same friends. But, even though they seem to be the same age, Blondi is Mirko's mother.","[35, 18]",5.336,2023-06-01,6.2,10
Kuttey,कुत्ते,864573,hi,"A van carrying crores of cash. One rainy night in the outskirts of Mumbai. Unaware of each other, three stray gangs cross paths on the hunt. Unfortunately, all of them have the same plan. Bullets... Blood... Betrayal... It’s every man for himself... All the dogs after one bone. Will these dogs bite the bone, or will they lose to greed?","[35, 80, 53]",3.947,2023-01-13,5.8,15
Avataro Sentai Donbrothers vs. Zenkaiger,暴太郎戦隊ドンブラザーズVSゼンカイジャー,1092060,ja,"Divided into three acts, the first act is about the Zenkaigers dealing with a new Kashiwa Mochi World and Zocks declares himself as ""Kashiwa Mochi King"", the ruler of Zenkaitopia?! In the second act, it's been a year since Taro left and the five companions continue to fight as a team with Jiro as their leader. Taro later regains his memories, only for his companions to ask him to leave the Donbrothers. In the final act, an incident caused the two worlds to connect, thus a full-throttle miracle battle between the two Super Sentai begins!","[28, 18, 878]",2.773,2023-05-03,4.8,11
Gringa,Gringa,801787,en,"Unpopular and down-on-her-luck, Marge is already having a tough time navigating the minefield that is her suburban high school. But Marge’s life is completely upended when her beloved mother and only champion (Greer) dies in a tragic accident. With nowhere else to turn except her ultra-conservative grandparents, Marge decides instead to hunt down her estranged father (Zahn), a former soccer star living in rural Mexico as a beach bum and coach to the local women’s team. Neither is ready for such a big change, but the best shot they have at fixing their past and moving forward is together.","[18, 35]",4.407,2023-04-21,5.8,13
Grand Expectations,De grandes espérances,977349,fr,"Summer 2019. Just graduated from Sciences Po, Madeleine leaves to prepare the orals of the ENA in Corsica with Antoine, her lover with whom she shares very left-wing political convictions. On a small deserted road, an unexpected encounter will seal their fate.","[18, 53]",4.919,2023-03-22,6.2,72
The Astronaut,L'Astronaute,881693,fr,"An aeronautical engineer at Ariane Espace, Jim has devoted himself for years to a secret project: building his own rocket and accomplishing the first manned space flight as an amateur. But to realize his dream, he must learn to share it.","[35, 18]",6.437,2023-02-15,7.0,64
Eldorado: Everything the Nazis Hate,"Eldorado – Alles, was die Nazis hassen",1133922,de,A glittery nightclub in 1920s Berlin becomes a haven for the queer community in this documentary exploring the freedoms lost amid Hitler’s rise to power.,[99],4.0,2023-06-28,7.8,32
Killing Romance,킬링 로맨스,746349,ko,A retired actress who marries an island chaebol and meets a 3-time-test-taker who lives next door.,"[53, 35]",4.65,2023-04-14,6.2,13
Inside the Yellow Cocoon Shell,Bên trong vỏ kén vàng,1114816,vi,"After a Vietnamese woman dies in a traffic accident in Saigon, her brother-in-law and her young son transport her body back to the former’s hometown in rural Vietnam, where they plan to give her a funeral.",[18],3.399,2023-08-11,6.7,11
TOMORROW X TOGETHER: OUR LOST SUMMER,TOMORROW X TOGETHER: OUR LOST SUMMER,1145796,ko,"TOMORROW X TOGETHER are back post-pandemic and are ready to embark on their first world tour from Seoul to North America. The band's nerves and excitement are kicking in, but they have challenged themselves to give the performance of a lifetime.","[99, 10402]",2.745,2023-07-28,9.4,24
Louis Tomlinson: All of Those Voices,Louis Tomlinson: All of Those Voices,1084072,en,"Ditching the typical glossy sheen of celebrity documentaries, this film gives audiences an intimate and unvarnished view of Louis Tomlinson's life and career. Through never-before-seen home movie footage and behind the scenes access to Louis’ sell-out 2022 World Tour, the documentary offers a unique perspective on what it's like to be a musician in today's fast-paced world.","[99, 10402]",6.376,2023-03-22,8.8,21
The Tower,La Tour,852432,fr,"In the heart of a city, the inhabitants of a tower wake up one morning to find that their building is shrouded in an opaque fog, obstructing doors and windows - a strange dark matter that devours anything that tries to pass through it. Trapped, the residents try to organize themselves, but to ensure their survival they gradually succumb to their most primitive instincts, until they sink into horror...","[27, 14, 18]",5.807,2023-02-08,4.3,44
Cyber Heist,斷網,741602,zh,A computer expert accidentally falls into the conspiracy of online financial crime and has to seize the time to participate in the struggle.,"[53, 80, 28]",3.662,2023-03-09,5.4,14
Les Vengeances de Maître Poutifard,Les Vengeances de Maître Poutifard,1005685,fr,The tasty story of a retired teacher who decides to make his former students pay for years of heckling and humiliation.,"[35, 10751]",6.29,2023-06-28,5.6,21
Club Zero,Club Zero,938250,en,"Miss Novak joins the staff of an international boarding school to teach a conscious eating class. She instructs that eating less is healthy. The other teachers are slow to notice what is happening and by the time the distracted parents begin to realise, Club Zero has become a reality.","[53, 18]",3.666,2023-09-27,6.4,10
Miranda's Victim,Miranda's Victim,980816,en,"The true story of Trish Weir who in 1963 was kidnapped and brutally raped by Ernesto Miranda. Committed to putting her assailant in prison, Trish’s life is destroyed by America’s legal system as she triggers a law that transforms the nation.","[18, 36]",4.714,2023-10-06,7.1,11
Natty Knocks,Natty Knocks,960469,en,"On Halloween Eve, Britt and the kids she is babysitting have to survive the horror of serial killer Abner Honeywell, who is himself the traumatized son of B-movie horror legend ""Natty Knocks"".","[27, 53]",4.616,2023-07-21,4.8,11
Miss. Shetty Mr. Polishetty,Miss. Shetty Mr. Polishetty,1045385,te,"Miss Shetty is a feminist who wishes to spend her life as a single. But on the other hand, Polishetty wanted to be in a committed relationship. How they connected and what happens in their life is the main crux of the film.","[35, 18, 10749, 53]",4.561,2023-09-07,6.7,16
A Guilty Conscience,毒舌大狀,990326,cn,"After his negligence causes an innocent woman to go to jail, a lawyer and his colleagues work to clear her name.",[18],5.025,2023-01-20,6.7,35
Kisi Ka Bhai... Kisi Ki Jaan,किसी का भाई... किसी की जान,966719,hi,"Bhaijaan, a self-defense trainer lives happily as a bachelor with his three brothers Moh, Ishq and Luv and uses violence to settle disputes. When his brothers, who’ve already found partners, come together to fix a match for him, Bhagya Lakshmi, Bhaijaan decides to mend his ways for his lover's sake. All hell breaks loose when he learns about Bhagya's family facing threats from their haunting past.","[10749, 28, 35]",3.784,2023-04-21,5.7,18
Seneca: On the Creation of Earthquakes,Seneca: On the Creation of Earthquakes,880150,en,"Rome in 65 AD, Emperor Nero's tyrannical regime has reached its zenith, Nero's self-indulgence and excessiveness brings up the opposition against him, conspiracies threaten his power. By all means Nero tries to defend his despotic claim of sovereignty. The famous philosopher Seneca has been Nero's teacher, mentor and close advisor since childhood, he is significantly involved in his ascent. Nevertheless, Nero gets weary of Seneca and Nero uses a foiled attack on his life to falsely accuse Seneca of being an accomplice.",[18],2.669,2023-02-20,5.8,10
Squaring the Circle: The Story of Hipgnosis,Squaring the Circle: The Story of Hipgnosis,949808,en,"In 1968, art students Storm Thorgerson and Aubrey “Po” Powell made a trippy photo collage for their musician friends Syd, David and Roger. The resulting album and album cover, A Saucerful of Secrets, helped launch two careers: that of Pink Floyd, one of the 70s megabands, and of Hipgnosis, which, over the course of the next 25 years, designed a stream of iconic album covers.","[99, 10402]",3.8,2023-06-07,7.7,10
"Io, noi e Gaber","Io, noi e Gaber",1183354,it,,[99],3.091,2023-11-06,8.0,12
Vaincre ou mourir,Vaincre ou mourir,950792,fr,"1793, French Revolution. For three years now, Charette, a young man retired from the Royal Navy, has been back home. In the country, the anger of the peasants rumbles: they call on the young retiree to take command of the rebellion. In a few months, the idle sailor becomes a charismatic leader and a shrewd strategist, bringing in his wake peasants, deserters, women, old people and children, of which he makes a formidable army. The fight for freedom has only just begun.","[36, 28, 10752]",4.275,2023-01-25,6.4,52
The Wonder Weeks,"Oei, ik groei!",1126844,nl,Three modern couples juggle relationships and demanding careers while navigating the unpredictable terrain of parenthood.,"[35, 18]",3.93,2023-06-09,6.1,31
King of Kotha,King of കൊത്ത,855117,ml,"Kannan is a gangster who rules the crime-infested town of Kotha. After getting humiliated by Kannan and his men, CI Shahul Haasan tactfully plots the return of former gangster named Kotha Rajendran alias ""Raju"", thus leading to a transformative turn of events.","[28, 18, 80]",4.882,2023-08-24,6.2,11
The Goldman Case,Le procès Goldman,972118,fr,"In 1976, the second trial of Pierre Goldman, a far-left activist suspected of killing two pharmacists during a robbery gone wrong, was held. The case mobilized many media figures.","[80, 36, 18]",5.191,2023-09-27,7.1,53
Love According to Dalva,Dalva,958244,fr,"One evening, Dalva is suddenly taken away from her father’s house. Dumbfounded and outraged at first, she later meets Jayden, a social worker, and Samia, a teen with a temper. A new life seems to start for Dalva, that of a girl her age.",[18],4.512,2023-03-22,7.3,43
KSI: In Real Life,KSI: In Real Life,1032505,en,"An access-all-areas look at the life of global megastar KSI as he goes through the most momentous year of his life. At the height of his fame, spurred on by a break-up, the multi-millionaire YouTuber, boxer and rapper starts to re-evaluate his priorities. How did JJ Olatunji, a nerdy kid from Watford become so successful and at what cost?",[99],3.07,2023-01-25,6.7,12
Yudo: The Way of the Bath,湯道,1029486,ja,"Two estranged brothers inherit Marukin Hot Springs, a small-town bathhouse. One sees it as an homage to their late father; the other—a struggling architect—as lucrative real estate for condos. Their eclectic collection of townsfolk customers show them the value of the bath goes way beyond a scrub and soak.",[18],2.613,2023-02-23,6.5,10
"Mother, May I?","Mother, May I?",1019961,en,"Emmett enters into a nightmarish game of therapy with his wife Anya, who has inexplicably taken on the persona of his estranged and recently-deceased mother.","[27, 53]",2.613,2023-07-21,4.6,20
The New Boy,The New Boy,937161,en,"In 1940s Australia, a 9-year-old aboriginal orphan boy arrives in the dead of night at a remote monastery run by a renegade nun, and his presence disturbs its delicately balanced world.",[18],5.334,2023-07-06,5.5,11
After the Bite,After the Bite,1123113,en,"Following a series of great white shark attacks that dominated the headlines, one Cape Cod community renegotiates its relationship with the marine environment. Local residents, fishermen, and environmentalists are forced to confront dramatic changes to their way of life. How far can we push nature before it bites back?",[99],4.044,2023-06-21,7.2,10
A Royal Christmas Crush,A Royal Christmas Crush,1132366,en,"Ava accepts the opportunity of a lifetime to work at the Royal Ice Hotel which leads her to a surprise whirlwind romance with the most important guest of all, the Royal Prince himself.","[10770, 35, 10749]",2.585,2023-07-08,5.3,11
I migliori giorni,I migliori giorni,1054693,it,Anthology comedy film about ordinary stories of holiday hypocrisy.,[35],4.147,2023-01-01,5.9,139
Iratta,ഇരട്ട,945167,ml,"After a cop is found dead, a policeman's investigation sparks a chilling search for the truth connected to his estranged twin and their fraught past.","[18, 53]",3.471,2023-02-03,6.1,19
Superpapa,Superpapa,1108902,fr,"Since the death of his wife, Christophe is a control freak. When a supervisor is declared absent for the snow holiday camp right before Christmas, Christophe volunteers, but his son Victor and Marina the biology teacher are not too enthusiastic about it. Christophe feels confident until he is gifted with a mysterious power: he can hear the teenagers' every thoughts.","[35, 10749, 10770]",2.569,2023-11-07,5.0,10
Ramon,Ramon,1072690,ro,"Ramon is a kind person, he tries to do good things, but he is making them much worse. He is looking for that special person and ends up in Bucharest, were troubles are following him.",[35],2.805,2023-02-03,7.5,12
Flo,Flo,966086,fr,"World premiering on the Plage, it tells the story of « the little fiancée of the Atlantic », who’s career reached its peak with her victory of the Route du Rhum in 1990.","[36, 18]",2.528,2023-11-01,6.9,20
Terezín,Le Terme di Terezín,1109804,it,"The story of Antonio, an Italian clarinetist, and Martina, a Czech violinist, who fall in love with each other during the World War II, in Prague.",[18],4.431,2023-04-06,7.0,16
Nato 0. El origen del mal,Nato 0. El origen del mal,1137325,es,,[53],2.801,2023-02-25,5.3,12
Match Me If You Can,Match Me If You Can,874707,en,"It centers on Kip Parsons, a computer nerd who declares war on online dating services when she’s rejected by one as “unmatchable.”","[35, 10749]",3.56,2023-08-11,5.5,10
Have a Nice Day!,¿Encontró lo que buscaba?,1092193,es,"A retired radio host bags groceries to earn money to attend his former employer's anniversary party, where he hopes to reunite with the love of his life.","[35, 18]",5.36,2023-03-10,7.1,14
Sur la branche,Sur la branche,958854,fr,"Mimi is 29 years old and still dreaming about a job she could get. She meets Paul, a sidelined lawyer, as she decides to seek employment. Together, they will defend Christophe, a conman who proclaims his innocence.",[35],2.501,2023-07-26,6.2,16
The 3rd Guest,The 3rd Guest,1069175,en,"A husband and wife ghost-hunting team, still mourning the loss of their daughter, encounter her in their latest assignment.",[27],2.491,2023-01-03,8.1,13
Double Speech,Doble discurso,1068385,es,An image consultant helps a corrupt politician form a romantic attachment with a journalist who despises him.,"[35, 10749, 53]",3.219,2023-07-27,7.5,16
Red Island,L'Île rouge,820707,fr,"Madagascar, at the turn of the 1960s and 1970s. On an air base of the French army, the soldiers live the last carefree years of colonialism. Influenced by his readings of Fantômette, Thomas, a child who is not yet 10 years old, gradually forges a look at the world around him.",[18],2.926,2023-05-31,5.8,24
Golia,Golia,1138745,it,"Golia is a former rugby champion suffering from dementia. every day he wakes up convinced that he is still young and is away with his team, only to learn that he is living inside a nursing home and has lost all contact with his wife and children. alessandro, another guest of the nursing home, is a former professor of ancient literature suffering from paraplegia. alessandro has one last ambition left: to help golia break out of the nursing home and reunite him with his family, overcoming the defense lines of the institution’s mean-spirited staff and showing the institutions how senility and illness are not valid pretexts for defining the social worthlessness of man.",[18],2.469,2023-04-20,8.5,14
Les Complices,Les Complices,984307,fr,"Max, a ruthless fifty-year-old hitman, discovers he has a problem: he now faints at the drop of blood. With his future in the profession in jeopardy, he's going to have to retrain... But not so simple when his only professional skill is to kill people... They are helped by a couple of young neighbors, Karim and Stéphanie, who do not imagine for a moment who they are dealing with... Max becomes attached, in spite of himself, to the young couple, until his past catches up with him.",[35],3.315,2023-04-12,5.4,46
The Re-Education of Molly Singer,The Re-Education of Molly Singer,856156,en,"In college, attorney Molly Singer was the life of every party. Now, she's about to be fired because she can't leave her partying ways behind. Molly's boss, Brenda, tells Molly there's one way to save her job: re-enroll at her old alma mater, befriend Brenda's socially awkward son, Elliot, and take him from zero to campus hero.","[35, 18]",5.704,2023-09-29,5.3,12
John Mulaney: Baby J,John Mulaney: Baby J,1093247,en,"A chaotic intervention. An action-packed stay in rehab. After a weird couple of years, John Mulaney comes out swinging in his return to the stage.",[35],4.046,2023-04-25,7.1,62
Greatest Days,Greatest Days,974861,en,"Based on the Take That musical, five best friends have the night of their lives seeing their favourite boy band in concert. Twenty-five years later, their lives have changed in many different ways as they reunite for one more epic show by their beloved band, to relight their friendship and discover that maybe their greatest days are ahead of them.","[10402, 35, 18]",2.783,2023-06-16,5.8,11
Bono & The Edge: A Sort of Homecoming with Dave Letterman,Bono & The Edge: A Sort of Homecoming with Dave Letterman,1073704,en,"Filmmaker Morgan Neville captures Dave Letterman on his first visit to Dublin to hang out with Bono and The Edge in their hometown, experience Dublin, and join the two U2 musicians for a concert performance unlike any they’ve done before.","[99, 10402]",3.622,2023-03-17,7.9,15
Curious Caterer: Fatal Vows,Curious Caterer: Fatal Vows,1132282,en,"Professional caterer and amateur detective Goldy Berry is hired to cater for a big wedding. The bride, Jessamyn Cole is the ex-wife of Goldy's current romantic interest, detective Tom Schultz. The town is shocked when they find the groom, Sterling Clearwater dead and Jessamyn missing. To complicate matters, a new detective with a vendetta against Tom is hired to oversee the case. Forced to take matters into their own hands, Goldy and Tom must find Jessamyn before she meets Sterling's fate.","[10770, 18, 9648]",2.918,2023-10-13,7.4,11
Where the Wind Blows,风再起时,531379,cn,"The decades spanning story of two very different policemen who rise to power in Hong Kong during British rule, and end up at odds with both organised crime groups and the anti-corruption unit vowing to bring them down.","[80, 18, 53]",3.584,2023-02-05,5.9,14
American Nightmare: Becoming Cody Rhodes,American Nightmare: Becoming Cody Rhodes,1153225,en,"This intimate and revealing documentary follows professional wrestler, Cody Rhodes, from leaving the WWE to his eventual return to WrestleMania and his journey chasing the WWE championship一a feat his father, ""The American Dream"" Dusty Rhodes, never accomplished.",[99],5.65,2023-07-31,7.4,22
Judy Blume Forever,Judy Blume Forever,1058670,en,"The radical honesty of the books by young adult fiction pioneer Judy Blume changed the way millions of readers understood themselves, their sexuality, and what it meant to grow up, but also led to critical battles against book banning and censorship.",[99],2.517,2023-01-21,7.3,12
Manta Manta - Zwoter Teil,Manta Manta - Zwoter Teil,1058100,de,"When a former racer faces the prospect of his car repair shop and go-kart track being foreclosed, he comes up with a daring plan: to win the prize for the big race on the Bilster Berg. He has one month to turn his old Opel into a rocket from the old days, but his ex-wife suddenly enters his life with a request to take care of their son.","[35, 28, 12]",4.027,2023-03-30,4.4,37
IB 71,IB 71,1114114,hi,A two- front war between Indian intelligence agencies and the Pakistani establishment.,"[28, 53, 10752]",2.391,2023-05-12,6.5,18
Lewis Capaldi: How I'm Feeling Now,Lewis Capaldi: How I'm Feeling Now,1098164,en,"An intimate, all-access documentary that will chronicle Lewis Capaldi's journey from a scrappy teen with a viral performance to a Grammy-nominated pop star.","[99, 10402]",4.496,2023-04-05,7.6,36
Brillantes,Brillantes,973604,fr,"Karine, a housekeeper of 34, is the full-time mother of 17 year-old Ziggy. When the company that employed her is taken over, subject to the laws of capitalism, Karine will have to choose between being true to herself, or lie to protect herself and her family.","[35, 18]",2.537,2023-01-18,6.4,13
Vaathi,வாத்தி,918864,ta,An assistant maths teacher takes up a tedious task of transforming underprivileged students despite the politics around education in the 90s.,"[18, 28]",4.598,2023-02-16,6.1,15
Meet Me In Paris,Meet Me In Paris,1075424,en,"Three single friends travel to Paris for ten days for the journey of a lifetime and in search of true love. From 'meet cutes' at the Luxembourg Gardens, to strolls down the tree-lined Champs-Élysées, will first dates lead to happily ever after or heartbreak?","[10749, 35]",2.756,2023-02-10,7.0,12
The Antares Paradox,La Paradoja de Antares,1002515,es,"In a race against the clock, Alexandra will be forced to choose how to spend the next hours: facing a critic family drama or trying to bring an answer to one of humanity's most important questions.","[878, 18]",3.288,2023-06-27,7.1,20
Trenque Lauquen,Trenque Lauquen,715742,es,"With the strange disappearance of Laura, two colleagues, her older boyfriend, Rafael, and Ezequiel, learn of their recent discoveries, which may help them locate her. However, the story is bigger and stranger than they could imagine.","[9648, 18]",3.084,2023-05-02,6.6,14
Across the Furious Sea,涉过愤怒的海,855492,zh,A murder case reveals unknown secrets of the killer and the victim.,"[80, 53, 18, 9648]",4.353,2023-11-25,7.0,10
Amor sin sentido,Amor sin sentido,1166740,es,,"[10749, 35]",4.51,2023-09-28,6.9,16
And the Party Goes On,Et la fête continue !,960042,fr,"In Marseille, Rosa, 60, dedicated her life to family and politics with the same sense of duty. Everyone considers her unwavering, until the day she falls in love with Henri. For the first time, Rosa is afraid to commit. Between the pressure of his family, politics and a desire to indulge in her feelings, the conflict is difficult to sustain.","[35, 18]",2.317,2023-11-15,7.1,12
20 Days in Mariupol,20 днів у Маріуполі,1058616,uk,"As the Russian invasion begins, a team of Ukrainian journalists trapped in the besieged city of Mariupol struggle to continue their work documenting the war’s atrocities.","[99, 10752]",4.096,2023-07-14,8.6,22
Temple of Film: 100 Years of the Egyptian Theatre,Temple of Film: 100 Years of the Egyptian Theatre,1193033,en,"Guillermo del Toro, Rian Johnson and other film luminaries look back at LA's historic Egyptian Theatre as it returns to its former movie palace glory.",[99],4.991,2023-11-09,6.9,11
Bloody Daddy,Bloody Daddy,1014390,hi,"Sumair Azad, a dirty cop and his friend, Jaggi, steal Sikandar Chowdhary's cocaine bag. As a result, Sikandar kidnaps Sumair's son, but things take a turn when he loses the cocaine bag as he faces off Gurugram’s drug lords, a crime boss, murderous narcs and straight cops on one fateful night.","[28, 80, 53]",2.983,2023-06-09,6.7,19
Nezouh,نزوح,937741,ar,"Even as bombs fall on Damascus, Mutaz refuses to flee to the uncertain life of a refugee. His wife, Hala, and daughter, Zeina, must make the choice whether to stay or leave.",[18],2.281,2023-01-19,7.1,13
Il più bel secolo della mia vita,Il più bel secolo della mia vita,1027717,it,"An absurd law prevents John, an unrecognized child at birth, from knowing the identity of his biological parents before his 100th birthday. To succeed in attracting public opinion, his only hope is to obtain the complicity of Gustavo, the only unrecognized-at-birth centenarian alive. The only one who would have the right to avail himself of this legislation but seems to have no interest in doing so. The Most Beautiful Century of My Life tells of the meeting between a centenarian projected into the future and a young man anchored in the past and of their unexpected friendship.",[35],3.351,2023-09-07,6.4,39
Love in the Maldives,Love in the Maldives,1091799,en,"A travel writer goes to the Maldives and hears about a legendary shipwreck. With the help of her underwater resort’s guest experience expert, she might discover love instead of a buried treasure.","[10770, 35, 10749]",2.273,2023-04-01,6.3,11
The Jewel Thief,The Jewel Thief,1109715,en,"Gerald Blanchard's surprising, first-hand account as a calculating and accomplished criminal mastermind. Two unlikely detectives track him worldwide as he commits increasingly elaborate heists in a quest for fame.","[99, 80]",3.554,2023-07-13,5.9,21
Sarah Silverman: Someone You Love,Sarah Silverman: Someone You Love,1127846,en,"In her first HBO comedy special since 2013’s acclaimed ""Sarah Silverman: We Are Miracles,"" Sarah Silverman showcases her fearless chutzpah in a performance filmed at The Wilbur Theater in Boston.",[35],2.317,2023-05-27,6.2,14
"Romina, VTM","Romina, VTM",1072568,ro,"Romina begins to fall in love with Valentin, a tourist on holiday in Costinești with plans to become a musician. Romina helps Valentin to become an artist and, without realizing, he is starting to look a lot like someone from Romina's past.","[35, 10749]",3.94,2023-01-02,6.0,11
Je ne suis pas un héros,Je ne suis pas un héros,1004255,fr,"Louis is a super nice guy. But in his lawyer's office, this is not a compliment. When his doctor wrongly diagnoses a serious disease, his colleagues behaviour changes : they care about him, they ask him questions and they listen his answers. Finally, Louis exists ! So, obviously, he hesitates over telling the truth.","[35, 18]",2.228,2023-11-22,6.0,11
The Rage,Бешенство,650036,ru,"An unprecedented epidemic of rabies is breaking out in the taiga. Infected wolves become more and more ferocious, and even the slightest bite brings certain death. At the same time, a desperate father decides to forcibly isolate his son in one of the hunting lodges in order to save him from addiction. Soon, he and several local residents will have to fight not only with a rabid pack, but also with the most dangerous predator of the forest.",[53],4.957,2023-02-23,6.0,13
Top Dogs,Les Cadors,860469,fr,"Antoine and Christian, two long-estranged brothers from Normandy, couldn’t be more different from each other: while the former is happily married with two kids and a successful boat driver, the latter is a facetious globe-trotting hustler who likes to engage in bar fights. But when Antoine starts getting involved in sleazy activities, Christian flies to his rescue. In an unexpected bonding-adventure they take upon themselves to defend the family they thought they’d never be.",[35],3.409,2023-01-11,5.4,35
